channel_id,channel_label,strategy,timeframe_minutes,signal_time_utc,entry_time_utc,exit_time_utc,direction,entry_price,stop_price,target_price,exit_price,stop_distance,gross_r,fee_r,net_r,win,exit_reason,holding_5m_bars,signal_atr,signal_adx,signal_rsi,month,phase
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-17T23:30:00+00:00,2025-08-17T23:30:00+00:00,2025-08-18T00:35:00+00:00,-1,117505.6,117740.6112,117035.5776,117035.7776,235.01120000000003,1.9991489767296389,0.49900042551163515,1.5001485512180037,True,TARGET,13,172.84348285854946,34.16810809527854,40.767044986612284,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-18T10:30:00+00:00,2025-08-18T10:30:00+00:00,2025-08-18T12:45:00+00:00,-1,114939.40000000001,115286.03621349442,114246.12757301118,115286.23621349441,346.63621349441365,-1.000576973761552,0.3320853783460866,-1.3326623521076386,False,STOP,27,288.86351124534474,59.70126225591443,40.79752896411776,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-18T21:00:00+00:00,2025-08-18T21:00:00+00:00,2025-08-19T00:25:00+00:00,1,116364.9,116024.50582109924,117045.68835780148,116024.30582109925,340.3941789007454,-1.0005875541134366,0.3413530844909968,-1.3419406386044335,False,STOP,41,283.66181575062114,21.482383775612895,56.89824210122869,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-19T22:00:00+00:00,2025-08-19T22:00:00+00:00,2025-08-19T23:55:00+00:00,-1,113364.7,113685.17500471915,112723.74999056172,112723.94999056171,320.4750047191434,1.9993759263684943,0.35273991210125794,1.6466360142672363,True,TARGET,23,267.0625039326195,42.06287513900267,45.05364592088571,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-20T00:30:00+00:00,2025-08-20T00:30:00+00:00,2025-08-20T01:05:00+00:00,-1,112946.1,113285.90632262999,112266.48735474005,113286.10632262999,339.8063226299785,-1.0005885705670694,0.3328840449048655,-1.333472615471935,False,STOP,7,283.17193552498213,41.38558982996657,40.16008645290571,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-20T01:30:00+00:00,2025-08-20T01:30:00+00:00,2025-08-20T02:15:00+00:00,-1,112890.7,113233.48163839636,112205.13672320727,113233.68163839636,342.78163839636665,-1.0005834618240683,0.32983736044945805,-1.3304208222735263,False,STOP,9,285.65136533030557,34.622697936324656,40.41500296895536,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-21T15:15:00+00:00,2025-08-21T15:15:00+00:00,2025-08-21T15:25:00+00:00,-1,112654.90000000001,113087.76964120807,111789.16071758387,113087.96964120807,432.86964120806476,-1.0004620328638316,0.26075156138369804,-1.2612135942475295,False,STOP,2,360.72470100672064,18.83357924631017,34.301743682928205,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-21T19:15:00+00:00,2025-08-21T19:15:00+00:00,2025-08-22T01:15:00+00:00,-1,112518.40000000001,112899.4295539694,111756.34089206124,112343.2,381.02955396938495,0.4598068527096159,0.29507107474669436,0.16473577796292155,True,TIME_EXIT,72,317.5246283078208,26.85795415765908,43.54568651805467,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-22T13:15:00+00:00,2025-08-22T13:15:00+00:00,2025-08-22T13:45:00+00:00,-1,112156.0,112495.29032137779,111477.4193572444,112495.49032137779,339.29032137779717,-1.0005894656799454,0.3310608587493866,-1.331650324429332,False,STOP,6,282.74193448149765,26.161212503685913,37.81583587328447,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-22T14:00:00+00:00,2025-08-22T14:00:00+00:00,2025-08-22T14:05:00+00:00,-1,112433.8,112814.47696649673,111672.44606700655,112814.67696649673,380.6769664967271,-1.0005253798301463,0.2958525164254104,-1.2963778962555568,False,STOP,1,317.23080541393927,23.37702137625902,47.43188574035163,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-22T23:30:00+00:00,2025-08-22T23:30:00+00:00,2025-08-23T01:40:00+00:00,1,116693.8,116377.98559513918,117325.42880972163,116377.78559513918,315.8144048608156,-1.0006332833364344,0.3690008783764273,-1.3696341617128618,False,STOP,26,263.17867071734634,33.46168478257202,55.37471108319183,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-24T01:45:00+00:00,2025-08-24T01:45:00+00:00,2025-08-24T02:40:00+00:00,1,115454.3,115223.39140000001,115916.11720000001,115223.19140000001,230.9086,-1.0008661435736577,0.4994995669282132,-1.5003657105018708,False,STOP,11,138.66112651068107,28.05281176540597,60.62512941163862,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-24T04:45:00+00:00,2025-08-24T04:45:00+00:00,2025-08-24T10:35:00+00:00,-1,115095.6,115325.7912,114635.2176,114635.4176,230.1912,1.9991311570555483,0.4990004344214723,1.500130722634076,True,TARGET,70,169.56912176402162,20.533833051110605,46.56671821948005,2025-08,development
15m_trend_pullback,15分钟趋势回踩,trend_pullback,15,2025-08-24T19:45:00+00:00,2025-08-24T19:45:00+00:00,2025-08-24T20:10:00+00:00,-1,113023.5,113640.71452517739,111789.0709496452,111789.2709496452,617.214525177396,1.999675963555888,0.1821188272303142,1.8175571363255738,True,TARGET,5,514.3454376478301,20.469631484220116,25.623702884834856,2025-08,development
