expert,family,policy_key,tier,month,raw_candidates,model_available,calibration_month,calibration_rows,calibration_brier,meta_brier,avg_win_r,avg_loss_r,sample_uncertainty_penalty,calibration_mean,calibration_utility_mean,eval_mean,eval_utility_mean,after_rank,meta_support,meta_neutral,meta_reject,after_soft_meta,after_positive_utility,after_cap
向上假突破回区间空头,假突破反转,5f2fe4ee3fec03dd,REJECTED,2025-05,339,True,2025-04,368.0,0.1994986453925168,0.20285356893805695,1.4755557529450178,0.9468390881824048,0.028670731932847783,0.28532969131225355,-0.3290371174403056,0.2928950966229421,-0.31499743759195187,70.0,0.0,2.0,68.0,2.0,0.0,0.0
向上假突破回区间空头,假突破反转,5f2fe4ee3fec03dd,REJECTED,2025-06,301,True,2025-05,339.0,0.1759083663540388,0.17703794205766318,1.4669203478252457,0.8724873741321905,0.029871899562646267,0.2300796798824567,-0.4060713288758705,0.2341776648973921,-0.3987890523307899,75.0,0.0,0.0,75.0,0.0,0.0,0.0
向上假突破回区间空头,假突破反转,5f2fe4ee3fec03dd,REJECTED,2025-07,105,True,2025-06,301.0,0.1947872060837273,0.19425154138490672,1.4685957553307787,0.9794768744035617,0.03170147297373293,0.26578860813118044,-0.40465105499087484,0.26872536710107026,-0.40059825970480434,30.0,0.0,0.0,30.0,0.0,0.0,0.0
向上假突破回区间空头,假突破反转,5f2fe4ee3fec03dd,REJECTED,2025-08,260,True,2025-07,105.0,0.15657036830387,0.15976330287852408,1.4669682272665285,0.9388739331349111,0.05367450401216933,0.19996862034482332,-0.5510079243204572,0.19754291279857622,-0.5556125613736896,52.0,0.0,0.0,52.0,0.0,0.0,0.0
向上假突破回区间空头,假突破反转,5f2fe4ee3fec03dd,REJECTED,2025-09,301,True,2025-08,260.0,0.20686154099324083,0.2068224365978777,1.466981321107472,0.8454409786224523,0.03410955201203233,0.29234512053544887,-0.24901849682074703,0.292268035991366,-0.24912613159433342,58.0,0.0,0.0,58.0,0.0,0.0,0.0
向上假突破回区间空头,假突破反转,5f2fe4ee3fec03dd,REJECTED,2025-10,277,True,2025-09,301.0,0.18368552420842468,0.18284552168509036,1.3906197378249034,0.9392370668970693,0.03170147297373293,0.2425886812817489,-0.4486182000679566,0.2429012206774125,-0.4498936266590406,48.0,0.0,0.0,48.0,0.0,0.0,0.0
向上假突破回区间空头,假突破反转,5f2fe4ee3fec03dd,REJECTED,2025-11,293,True,2025-10,277.0,0.17371389860656095,0.17346091754671816,1.4763026979668956,0.9628436458176642,0.033046297246936036,0.2237545036391818,-0.4917976209827188,0.22463151044821922,-0.49025755217126354,73.0,0.0,0.0,73.0,0.0,0.0,0.0
向上假突破回区间空头,假突破反转,5f2fe4ee3fec03dd,REJECTED,2025-12,301,True,2025-11,293.0,0.19171568620931903,0.19207231883824913,1.4797861328821333,0.8341034455971332,0.032131343081034235,0.25942406155736414,-0.30981153797314687,0.25547580767897277,-0.31670179002278037,35.0,0.0,0.0,35.0,0.0,0.0,0.0
向上假突破回区间空头,假突破反转,5f2fe4ee3fec03dd,REJECTED,2026-01,317,True,2025-12,301.0,0.16143319327456634,0.16140301948970995,1.4718340574851112,0.9138515052331897,0.03170147297373293,0.2026143033781057,-0.5023548359961844,0.2032337854656006,-0.5015279784207851,67.0,0.0,0.0,67.0,0.0,0.0,0.0
向上假突破回区间空头,假突破反转,5f2fe4ee3fec03dd,REJECTED,2026-02,283,True,2026-01,317.0,0.19334476857267147,0.19549283074376947,1.4029614883265757,0.8644306143584205,0.030891077596595175,0.26814483124524124,-0.33132456351968625,0.27275301066877444,-0.3230620129220722,68.0,0.0,0.0,68.0,0.0,0.0,0.0
向上假突破回区间空头,假突破反转,5f2fe4ee3fec03dd,REJECTED,2026-03,312,True,2026-02,283.0,0.2101143078183568,0.20921229543118483,1.491820761521914,0.9183350250221026,0.03269410640527702,0.3003627542541014,-0.2729429796093849,0.30071525170022406,-0.27351543787623284,60.0,0.0,0.0,60.0,0.0,0.0,0.0
向上假突破回区间空头,假突破反转,5f2fe4ee3fec03dd,REJECTED,2026-04,309,True,2026-03,312.0,0.1937428756851422,0.19363929720259035,1.4822736330252513,0.95547842969975,0.031137618438976382,0.26286662444025277,-0.3898202364855815,0.2629222567164288,-0.38939967507771006,80.0,0.0,0.0,80.0,0.0,0.0,0.0
向上假突破回区间空头,假突破反转,5f2fe4ee3fec03dd,REJECTED,2026-05,365,True,2026-04,309.0,0.1697119278679,0.16973727083682594,1.4676319850090893,0.9053206849933704,0.03128840681937159,0.21676819402192976,-0.46342232792948196,0.21800599080682587,-0.4614294784137174,96.0,0.0,0.0,96.0,0.0,0.0,0.0
资金费率极端回归多头,衍生品反转,fcc89570f6af5d59,REJECTED,2025-05,406,True,2025-04,443.0,0.194852173247697,0.19525365095036867,1.4647442832644169,0.8584552880260056,0.026131288598006897,0.2664081869939556,-0.30982961861084996,0.2650889670589493,-0.31213622630751925,69.0,0.0,0.0,69.0,0.0,0.0,0.0
资金费率极端回归多头,衍生品反转,fcc89570f6af5d59,REJECTED,2025-06,434,True,2025-05,406.0,0.17737566742347516,0.17765681326337915,1.4686227956978606,0.8644763149277148,0.02729604168420058,0.2315286263983764,-0.3937108345930533,0.23334073476040504,-0.3910356217138651,80.0,0.0,0.0,80.0,0.0,0.0,0.0
资金费率极端回归多头,衍生品反转,fcc89570f6af5d59,REJECTED,2025-07,169,True,2025-06,434.0,0.19605357954988625,0.194156025526991,1.40892314221489,0.8676960690263927,0.026400844840552565,0.2696015191630141,-0.32457603924246525,0.2645481680147765,-0.3337587382948269,25.0,0.0,0.0,25.0,0.0,0.0,0.0
资金费率极端回归多头,衍生品反转,fcc89570f6af5d59,REJECTED,2025-08,379,True,2025-07,169.0,0.17868898942825445,0.1832671391969224,1.46516025159809,1.077453867116732,0.04230769230769231,0.24265003022040593,-0.5451425274356896,0.27140739714528217,-0.4893410008641956,119.0,0.0,0.0,119.0,0.0,0.0,0.0
资金费率极端回归多头,衍生品反转,fcc89570f6af5d59,REJECTED,2025-09,440,True,2025-08,379.0,0.1505207784033813,0.15011348387306903,1.4661070588898337,0.9286095054754361,0.028251602331563277,0.18469750816121136,-0.5533605391084792,0.18242349581879824,-0.5566050281405983,76.0,0.0,0.0,76.0,0.0,0.0,0.0
资金费率极端回归多头,衍生品反转,fcc89570f6af5d59,REJECTED,2025-10,411,True,2025-09,440.0,0.18957907464991589,0.18918287401276734,1.4050396262818532,0.7977274408813976,0.02622022120425379,0.2545507605602503,-0.30678983323298054,0.25051805452860265,-0.31319527951229764,38.0,0.0,0.0,38.0,0.0,0.0,0.0
资金费率极端回归多头,衍生品反转,fcc89570f6af5d59,REJECTED,2025-11,495,True,2025-10,411.0,0.18713570604568353,0.18874211705758698,1.4698179039944814,0.8335585186590204,0.027129499301684457,0.25300719122788085,-0.3211761128647607,0.26453887166454754,-0.30074288209325545,131.0,0.0,0.0,131.0,0.0,0.0,0.0
资金费率极端回归多头,衍生品反转,fcc89570f6af5d59,REJECTED,2025-12,437,True,2025-11,495.0,0.1625842904842985,0.16448204743147712,1.4848561411744865,0.9382861347484863,0.02472066162365221,0.2120634376109331,-0.4894175120327663,0.21479339746647197,-0.48375725295362004,112.0,0.0,0.0,112.0,0.0,0.0,0.0
资金费率极端回归多头,衍生品反转,fcc89570f6af5d59,REJECTED,2026-01,517,True,2025-12,437.0,0.18705179130571076,0.18686565883243558,1.4761941432580763,0.8254173574611328,0.02631006802792169,0.24943141995425777,-0.320893667670447,0.2500045281255427,-0.31960163703315303,107.0,0.0,0.0,107.0,0.0,0.0,0.0
资金费率极端回归多头,衍生品反转,fcc89570f6af5d59,REJECTED,2026-02,437,True,2026-01,517.0,0.16578491755672425,0.1661734794152354,1.4753552928851243,0.8713631657505491,0.024188972342344836,0.21083335656698587,-0.4415004907747204,0.21786315129643527,-0.4281083230997302,102.0,0.0,0.0,102.0,0.0,0.0,0.0
资金费率极端回归多头,衍生品反转,fcc89570f6af5d59,REJECTED,2026-03,479,True,2026-02,437.0,0.19486239149700604,0.19488158312861306,1.4996835587728214,0.8257329203478654,0.02631006802792169,0.26545293928173114,-0.27889356045209157,0.2670982378002605,-0.27584945164479996,124.0,0.0,0.0,124.0,0.0,0.0,0.0
资金费率极端回归多头,衍生品反转,fcc89570f6af5d59,REJECTED,2026-04,371,True,2026-03,479.0,0.19630073803518178,0.19665779688727997,1.474757977249141,0.9412929197751356,0.025130141431172464,0.2734947658699033,-0.3499791869100555,0.2729628515299467,-0.34809179561868064,63.0,0.0,0.0,63.0,0.0,0.0,0.0
资金费率极端回归多头,衍生品反转,fcc89570f6af5d59,REJECTED,2026-05,447,True,2026-04,371.0,0.1755876209117756,0.17492542542877873,1.4656623228565187,0.861401781826502,0.028554577240814078,0.2290373017150451,-0.39882762218074486,0.23573397997383774,-0.38434561290050895,130.0,0.0,0.0,130.0,0.0,0.0,0.0
资金费率极端回归空头,衍生品反转,b02aa80e33f81c12,REJECTED,2025-05,503,True,2025-04,474.0,0.16013637083293059,0.16068362676094203,1.708908550389071,0.8660018674307706,0.025262336669604396,0.20251195496508742,-0.4098562650474672,0.1982517764759608,-0.41768094666940614,78.0,0.0,0.0,78.0,0.0,0.0,0.0
