lane,month,signal_i,exit_i,direction,policy_key,day,net_r,win,outcome_reason,reason,model_available,history_ready,base_probability,probability,online_percentile,rank_threshold,rank_pass,router,router_threshold,micro,meta_probability,meta_decision,meta_pass,expected_utility,brier_penalty,sample_uncertainty_penalty,total_penalty,utility,minimum_utility,utility_pass,cap_pass,selected,first_reject_stage,sample_uncertainty_changes_signal_selection,monthly_cap_enabled,cross_trade_cluster_dedup,allocation_rule,expert_id,expert,family,setup_group,rating_source_lane,rating_engine
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-09,56583,56599,-1,59bcc3e64f2c7f94,2025-09-07,-1.2712570677811599,False,2,2,True,True,0.5460766606766151,0.44672700621566597,0.9939393939393939,0.8,True,0.61,0.34,0.7591914371310968,0.31022566298335486,NEUTRAL,True,0.14858013223762268,0.04412835202947898,0.0,0.04412835202947898,0.10445178020814369,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,23,压缩后首次放量突破空头,波动扩张,压缩突破,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-09,58244,58340,-1,59bcc3e64f2c7f94,2025-09-14,-0.17068709742519328,False,2,2,True,True,0.5322551912715892,0.4364188446879926,0.9891304347826086,0.8,True,0.61,0.34,0.8081478418942871,0.3086394153528962,NEUTRAL,True,0.12531052944437804,0.04412835202947898,0.0,0.04412835202947898,0.08118217741489905,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,23,压缩后首次放量突破空头,波动扩张,压缩突破,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-09,59987,60055,-1,59bcc3e64f2c7f94,2025-09-21,-0.7570831797888888,False,4,4,True,True,0.5584291078403891,0.45600597981427166,0.9911111111111112,0.8,True,0.61,0.34,0.749713061051231,0.3116096861251605,NEUTRAL,True,0.16949506439624784,0.04412835202947898,0.0,0.04412835202947898,0.12536671236676886,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,23,压缩后首次放量突破空头,波动扩张,压缩突破,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-09,60536,60556,-1,59bcc3e64f2c7f94,2025-09-23,-0.1707017426518126,False,2,2,True,True,0.5833410906644017,0.4749244847871482,1.0,0.8,True,0.5781888718310471,0.34,0.7666409216675925,0.31021862476978446,NEUTRAL,True,0.20912225073035984,0.04412835202947898,0.0,0.04412835202947898,0.16499389870088085,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,23,压缩后首次放量突破空头,波动扩张,压缩突破,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-09,61399,61460,-1,eac17b2dead99d38,2025-09-26,-0.1861870310157715,False,2,2,True,True,0.5384595276278327,0.3802911190723869,0.888235294117647,0.8,True,0.8516046784759529,0.34,0.7598453041369131,0.3290241767451953,NEUTRAL,True,0.07282367727398875,0.045923616339148356,0.0,0.045923616339148356,0.026900060934840396,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,5,VWAP反抽失败空头,VWAP回归,VWAP受阻,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-09,61406,61460,-1,59bcc3e64f2c7f94,2025-09-26,-0.17093192522609424,False,2,2,True,True,0.5795564873199336,0.472031914196899,0.9919354838709677,0.8,True,0.61,0.34,0.8577905795114511,0.3140489623150381,NEUTRAL,True,0.20565273573830178,0.04412835202947898,0.0,0.04412835202947898,0.1615243837088228,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,23,压缩后首次放量突破空头,波动扩张,压缩突破,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-11,70609,70630,1,acb95ebbfdc22945,2025-11-02,-0.18628122977660072,False,2,2,True,True,0.12993511434850943,0.4404605690265261,0.9090909090909091,0.88,True,0.6737165409245155,0.34,0.6809472569499044,0.418100499263417,NEUTRAL,True,0.3120679894241406,0.04925244488961919,0.0,0.04925244488961919,0.2628155445345214,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,4,VWAP重新站回多头,VWAP回归,VWAP收回,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-11,70846,70849,-1,7dd21da10b8889b6,2025-11-03,-1.2867471814934128,False,2,2,True,True,0.12530006302827457,0.41330769834838443,1.0,0.8,True,0.8696027748508907,0.34,0.6999270986345896,0.3294210473800146,NEUTRAL,True,0.11516386996257755,0.04378439911600334,0.0,0.04378439911600334,0.0713794708465742,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,7,支撑转阻力确认空头,结构角色转换,支撑转阻力,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-11,71184,71186,-1,1de21fc96eaf5c68,2025-11-04,-0.1862164800236871,False,2,2,True,True,0.5033629337079455,0.373584586628582,0.9156626506024096,0.88,True,0.4770522682367452,0.34,0.7518250106086408,0.35243509089887887,NEUTRAL,True,0.14567519858667605,0.04777148000314584,0.0,0.04777148000314584,0.0979037185835302,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,11,欧美时段顺势延续空头,时段延续,时段延续,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,2025-11,71932,71945,-1,1de21fc96eaf5c68,2025-11-07,1.7147203332269656,True,1,1,True,True,0.47304390817597497,0.3704571365667025,0.8855218855218855,0.88,True,0.4648018634441432,0.34,0.6961905690283763,0.3558224352681975,NEUTRAL,True,0.14193010388655458,0.04777148000314584,0.0,0.04777148000314584,0.09415862388340873,0.02,True,True,True,SELECTED,False,False,False,NO_MONTHLY_CAP_NO_CROSS_TRADE_CLUSTER,11,欧美时段顺势延续空头,时段延续,时段延续,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,V9.6.1_REFERENCE
