expert,family,policy_key,tier,month,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R
缩量回踩恢复多头,量价回踩,612581c35b84da3c,REJECTED,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
缩量回踩恢复多头,量价回踩,612581c35b84da3c,REJECTED,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
缩量回踩恢复多头,量价回踩,612581c35b84da3c,REJECTED,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
缩量回踩恢复多头,量价回踩,612581c35b84da3c,REJECTED,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
缩量反抽恢复空头,量价回踩,b55421f3522a3f16,REJECTED,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
缩量反抽恢复空头,量价回踩,b55421f3522a3f16,REJECTED,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
缩量反抽恢复空头,量价回踩,b55421f3522a3f16,REJECTED,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
缩量反抽恢复空头,量价回踩,b55421f3522a3f16,REJECTED,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
缩量反抽恢复空头,量价回踩,b55421f3522a3f16,REJECTED,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
缩量反抽恢复空头,量价回踩,b55421f3522a3f16,REJECTED,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
缩量反抽恢复空头,量价回踩,b55421f3522a3f16,REJECTED,2025-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
缩量反抽恢复空头,量价回踩,b55421f3522a3f16,REJECTED,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
缩量反抽恢复空头,量价回踩,b55421f3522a3f16,REJECTED,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
缩量反抽恢复空头,量价回踩,b55421f3522a3f16,REJECTED,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
缩量反抽恢复空头,量价回踩,b55421f3522a3f16,REJECTED,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
缩量反抽恢复空头,量价回踩,b55421f3522a3f16,REJECTED,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
缩量反抽恢复空头,量价回踩,b55421f3522a3f16,REJECTED,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续多头,时段延续,792c97e8b4c0b8eb,REJECTED,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续多头,时段延续,792c97e8b4c0b8eb,REJECTED,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续多头,时段延续,792c97e8b4c0b8eb,REJECTED,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续多头,时段延续,792c97e8b4c0b8eb,REJECTED,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续多头,时段延续,792c97e8b4c0b8eb,REJECTED,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续多头,时段延续,792c97e8b4c0b8eb,REJECTED,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续多头,时段延续,792c97e8b4c0b8eb,REJECTED,2025-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续多头,时段延续,792c97e8b4c0b8eb,REJECTED,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续多头,时段延续,792c97e8b4c0b8eb,REJECTED,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续多头,时段延续,792c97e8b4c0b8eb,REJECTED,2026-02,3,1,0.3333333333333333,1.7124662965841884,0.7217092497815238,2.3727925021088296,1.1863962510544148,0.2690477970211407,1.4434184995630477,0.08968259900704689
欧美时段顺势延续多头,时段延续,792c97e8b4c0b8eb,REJECTED,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续多头,时段延续,792c97e8b4c0b8eb,REJECTED,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续多头,时段延续,792c97e8b4c0b8eb,REJECTED,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续空头,时段延续,4337d47dd551514a,CANDIDATE,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续空头,时段延续,4337d47dd551514a,CANDIDATE,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续空头,时段延续,4337d47dd551514a,CANDIDATE,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续空头,时段延续,4337d47dd551514a,CANDIDATE,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续空头,时段延续,4337d47dd551514a,CANDIDATE,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续空头,时段延续,4337d47dd551514a,CANDIDATE,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续空头,时段延续,4337d47dd551514a,CANDIDATE,2025-11,2,1,0.5,1.7147203332269656,0.1862164800236871,9.208209354020921,9.208209354020921,1.5285038532032784,0.1862164800236871,0.7642519266016392
欧美时段顺势延续空头,时段延续,4337d47dd551514a,CANDIDATE,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续空头,时段延续,4337d47dd551514a,CANDIDATE,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续空头,时段延续,4337d47dd551514a,CANDIDATE,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续空头,时段延续,4337d47dd551514a,CANDIDATE,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续空头,时段延续,4337d47dd551514a,CANDIDATE,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
欧美时段顺势延续空头,时段延续,4337d47dd551514a,CANDIDATE,2026-05,1,0,0.0,0.0,1.2869456596998758,0.0,0.0,-1.2869456596998758,1.2869456596998758,-1.2869456596998758
区间扫低立即收回多头,流动性反转,79c29a37bad7e697,REJECTED,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间扫低立即收回多头,流动性反转,79c29a37bad7e697,REJECTED,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间扫低立即收回多头,流动性反转,79c29a37bad7e697,REJECTED,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间扫低立即收回多头,流动性反转,79c29a37bad7e697,REJECTED,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间扫低立即收回多头,流动性反转,79c29a37bad7e697,REJECTED,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间扫低立即收回多头,流动性反转,79c29a37bad7e697,REJECTED,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间扫低立即收回多头,流动性反转,79c29a37bad7e697,REJECTED,2025-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
区间扫低立即收回多头,流动性反转,79c29a37bad7e697,REJECTED,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
