expert_id,expert,family,tier,selected_research,selected_qualified,candidate_shadow_only,policy_key,selection_status,selection_reason,mature_policy_available,mature_policy_protected,selected_cluster_robust,rejection_reason,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,shrunk_win_rate,wilson_lower,active_months,positive_months,worst_month_R,max_single_month_profit_share,max_trades_single_month,valid_blocks,positive_blocks,positive_expectancy_blocks,high_win_rate_blocks,max_single_trade_profit_share,best_trade_removed_net_R,best_two_trades_removed_net_R,loo_month_min_net_R,loo_month_positive_share,cluster_robust,core_policy_selection_tier,legacy_v963_tier,final_rating_source,rating_ignores_execution_budget
30,欧美开盘区间突破多头,开盘突破,REJECTED,False,False,False,f9b0b97528e653e7,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,盈利因子不足|累计净R不足|最差月份亏损过大,12,3,0.25,1.5049712509409818,1.063311412229148,1.415362643184586,0.4717875477281953,-5.054888957239388,6.740091937348865,-0.4212407464366157,0.35,0.08894003962896137,2,1,-5.437005880034535,1.0,7,1,1,1,0,0.3375054133538993,-6.578696789643101,-8.074260846193926,-5.437005880034535,0.5,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
31,欧美开盘区间突破空头,开盘突破,REJECTED,False,False,False,8f89911d444a7852,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
32,BTC强于ETH且溢价回落空头,跨资产衍生品,REJECTED,False,False,False,ad7bf81694ad15d4,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
33,BTC强于ETH且主动卖盘空头,跨资产订单流,REJECTED,False,False,False,16e8ea0e0b751d8b,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,True,盈利因子不足|累计净R不足|最差月份亏损过大,8,1,0.125,1.7144577334199718,0.9458446647556148,1.8126208216895208,0.25894583166993157,-4.906454919869331,4.906454919869331,-0.6133068649836664,0.3125,0.02241690886329618,2,0,-3.969918147452873,0.0,4,1,0,0,0,1.0,-6.620912653289303,-6.54392084270415,-3.969918147452873,0.0,True,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
34,BTC强于ETH欧美盘修复空头,跨资产时段,REJECTED,False,False,False,d9d64c6080c7757b,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,活跃月份不足|盈利因子不足|累计净R不足|最差月份亏损过大,4,1,0.25,1.7146344154267206,1.2815182689432856,1.3379711058201098,0.4459903686067032,-2.129920391403136,3.8445548068298567,-0.532480097850784,0.4166666666666667,0.045586062644636216,1,0,-2.129920391403136,0.0,4,1,0,0,0,1.0,-3.8445548068298567,-2.5737489669362423,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
35,ETH先跌BTC滞后补跌空头,跨资产领先滞后,REJECTED,False,False,False,1988519d498cd703,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足|最差月份亏损过大,2,0,0.0,0.0,1.284461255634109,0.0,0.0,-2.568922511268218,2.568922511268218,-1.284461255634109,0.4,0.0,1,0,-2.568922511268218,0.0,2,0,0,0,0,0.0,-1.2870814550267895,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
36,BTC弱于ETH且溢价回升多头,跨资产衍生品,REJECTED,False,False,False,d9882e2d61ed9961,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
37,ETH先涨BTC滞后补涨多头,跨资产领先滞后,REJECTED,False,False,False,6387acc3c2ec918d,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足,1,1,1.0,1.7125413489195278,0.0,999.0,999.0,1.7125413489195278,0.0,1.7125413489195278,0.5555555555555556,0.20654329147389294,1,1,0.0,1.0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
38,跨资产背离后VWAP失守空头,跨资产VWAP,REJECTED,False,False,False,47d7edd201629376,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
39,跨资产背离后VWAP收回多头,跨资产VWAP,REJECTED,False,False,False,1d3bb2983569000d,NO_WATCH_OR_QUALIFIED_EXPERTS,evidence_first,False,False,False,总交易不足|活跃月份不足|盈利因子不足|实际盈亏比不足|累计净R不足,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,REJECTED,REJECTED,V9.6.7_NO_MONTHLY_BUDGET_ORIGINAL,True
