channel_id,channel_label,family,profile,reward_risk_target,stop_atr_multiple,signal_time_utc,entry_time_utc,exit_time_utc,direction,entry_price,stop_price,target_price,exit_price,stop_distance,gross_r,fee_r,net_r,win,exit_reason,holding_5m_bars,signal_atr,signal_adx,signal_rsi,signal_plus_di,signal_minus_di,signal_ema_separation_atr,signal_ema_slope_3_atr,signal_volume_ratio,signal_clv,signal_channel_width_atr,month,phase,is_baseline
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-07-10T15:00:00+00:00,2025-07-10T15:00:00+00:00,2025-07-10T17:10:00+00:00,1,111195.3,110693.94082089169,112699.37753732495,112699.17753732495,501.35917910831427,2.9996010843955294,0.22328750212126314,2.776313582274266,True,TARGET,26,435.9645035724472,36.4984384750559,61.52495080553802,26.666748618667114,17.107230027001457,1.715125832810322,0.14087887611637892,1.5572284963207292,0.8873036460585131,6.772110976483177,2025-07,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-07-14T00:00:00+00:00,2025-07-14T00:00:00+00:00,2025-07-14T03:45:00+00:00,1,119038.5,118445.4202611742,120817.73921647742,120817.53921647742,593.0797388258051,2.9996627772171287,0.20221230259134357,2.7974504746257853,True,TARGET,45,515.7215120224392,34.342141101537315,64.49271215988921,28.900624110325126,13.04667139460242,1.432562542525721,0.20503548121948825,1.0201658390580797,0.848229141906349,4.067505332041929,2025-07,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-07-25T13:00:00+00:00,2025-07-25T13:00:00+00:00,2025-07-25T19:45:00+00:00,-1,116079.5,116910.89541008518,113585.31376974446,116911.09541008518,831.3954100851796,-1.0002405594228398,0.14012020789615282,-1.1403607673189926,False,STOP,81,722.9525305088519,37.89824380346293,41.13907505182873,11.805037313394552,28.233010614658273,1.107812229024422,-0.1979758587079381,1.0546888779414125,0.7731494511680125,6.514397282329351,2025-07,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-07-27T15:00:00+00:00,2025-07-27T15:00:00+00:00,2025-07-27T16:25:00+00:00,1,118415.0,118105.63134906201,119343.10595281399,119342.90595281399,309.3686509379974,2.9993535220863703,0.38426308747175647,2.615090434614614,True,TARGET,17,269.0162182069543,26.788600615462837,62.396012812907905,33.57765183974789,16.831777332714307,0.896808423381827,0.22046996917282186,3.1622441507623225,0.8030139935414533,2.3466986645182244,2025-07,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-08-01T18:00:00+00:00,2025-08-01T18:00:00+00:00,2025-08-03T18:00:00+00:00,-1,114387.0,115370.73979212205,111435.78062363385,114069.09999999999,983.739792122049,0.32315456032764406,0.11611612228635775,0.2070384380412863,True,TIME_EXIT,576,855.4259061930862,38.774664198677634,38.34442216143245,9.979176018878013,26.990547721702463,1.122666055746165,-0.2426475319069884,0.9719432865805016,0.8852674464449947,3.477799746841528,2025-08,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-08-15T14:00:00+00:00,2025-08-15T14:00:00+00:00,2025-08-17T09:25:00+00:00,-1,117723.0,118428.64511308505,115606.06466074486,118428.84511308504,705.6451130850471,-1.000283428590787,0.1673304616825307,-1.1676138902733175,False,STOP,521,613.6044461609106,35.43730703840295,32.688380187703345,11.745761672402278,32.99500922012572,1.0208999024010443,-0.23546604506353305,2.7428721142624495,0.9663326653306701,3.5527773855607307,2025-08,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-09-11T14:00:00+00:00,2025-09-11T14:00:00+00:00,2025-09-11T14:20:00+00:00,1,114578.4,114005.57808952876,116296.86573141368,114005.37808952876,572.8219104712298,-1.0003491486557072,0.19952429709042133,-1.1998734457461286,False,STOP,4,498.1060091054173,33.752316666725584,68.85263200650203,24.852308064283235,9.855164509223046,1.3850489705078992,0.22700540594895766,4.242864687678683,0.9154700222057757,2.7885630259602774,2025-09,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-09-12T18:00:00+00:00,2025-09-12T18:00:00+00:00,2025-09-13T16:45:00+00:00,1,115746.7,115241.83317793961,117261.30046618116,115241.63317793961,504.86682206038665,-1.0003961440745521,0.22876164870100268,-1.2291577927755548,False,STOP,273,439.01462787859714,36.20290607655064,66.13648816099084,27.43369509916799,9.587050061997667,1.4482377925583132,0.28257501476410135,1.4271165059429487,0.7558866813833514,4.427642899720261,2025-09,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-09-23T19:00:00+00:00,2025-09-23T19:00:00+00:00,2025-09-24T00:25:00+00:00,-1,111728.1,112320.9426283025,109949.57211509254,112321.14262830249,592.8426283024872,-1.0003373576569075,0.18896181881339463,-1.189299176470302,False,STOP,65,515.5153289586846,33.760608662491755,32.97967459438331,10.801701839394998,25.613847453127995,1.1645790604879203,-0.35108094353837865,1.5818097947709189,0.8107162585159238,3.5880601334131024,2025-09,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-09-24T04:00:00+00:00,2025-09-24T04:00:00+00:00,2025-09-24T04:35:00+00:00,-1,111639.6,112198.24364845006,109963.66905464983,112198.44364845006,558.6436484500593,-1.0003580099774727,0.20034063241341976,-1.2006986423908925,False,STOP,7,485.7770856087473,33.137175755438754,37.64151987564211,11.505035087016433,23.68788618828876,1.2283084559773707,-0.1772537739926218,1.154427383038825,0.9685397344971766,3.7904216863020492,2025-09,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-09-26T15:00:00+00:00,2025-09-26T15:00:00+00:00,2025-09-26T16:25:00+00:00,-1,108796.6,109557.42881266438,106514.11356200687,109557.62881266438,760.8288126643813,-1.0002628712223582,0.14349760759453872,-1.143760478816897,False,STOP,17,661.5902718820707,54.37340202511456,37.63181107571375,9.570802575388596,24.28559481585282,1.5140876271192838,-0.17003260770192216,1.542717070536373,0.8698241369684614,2.056711015609588,2025-09,development,False
60m_trend_pullback_confirmation_rr3_0,1小时趋势回踩·二次确认 RR3.0,trend_pullback,confirmation,3.0,1.15,2025-09-30T20:00:00+00:00,2025-09-30T20:00:00+00:00,2025-10-01T08:50:00+00:00,1,114309.3,113704.18817237233,116124.63548288302,116124.43548288303,605.1118276276745,2.999669482580129,0.19040590925671758,2.8092635733234115,True,TARGET,154,526.1841979371084,29.71521938072825,63.46212306007485,29.594980807238688,12.370476799021905,1.2155045448628765,0.21836466760712314,2.0352848173917675,0.7505124117513187,4.151968091335805,2025-09,development,False
